captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-07,global,Global,top_shorts_songs_weekly,,39,我真的特别爱你 (月薪喵名曲) DJ李颉,,,,我真的特别爱你 (月薪喵名曲) DJ李颉
2026-08-07,global,Global,top_shorts_songs_weekly,,40,Animal KATSEYE,<10K,"7月 24, 2026",,"40 New Animal KATSEYE 7月 24, 2026 - 1 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,41,Main Yahaan Hoon Udit Narayan,,,,Main Yahaan Hoon Udit Narayan
2026-08-07,global,Global,top_shorts_songs_weekly,,42,"KALYANI (Remix) FIFTY4 , 舒蕾亞·戈沙爾 , ARJN & KDS",,,,"KALYANI (Remix) FIFTY4 , 舒蕾亞·戈沙爾 , ARJN & KDS"
2026-08-07,global,Global,top_shorts_songs_weekly,,43,4 Brasil M4IA,39 11 <10K,"3月 19, 2026",,"43 4 Brasil M4IA 3月 19, 2026 39 11 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,44,Karihaiyan Pa Samar Singh & Shilpi Raj,,,,Karihaiyan Pa Samar Singh & Shilpi Raj
2026-08-07,global,Global,top_shorts_songs_weekly,,45,FUNK ABNORMAL (SLOWED) DJ V12 & SXID,,,,FUNK ABNORMAL (SLOWED) DJ V12 & SXID
2026-08-07,global,Global,top_shorts_songs_weekly,,46,Alone 艾倫·沃克,<10K,"12月 2, 2016",,"46 New Alone 艾倫·沃克 12月 2, 2016 - 1 <10K"
2026-08-07,global,Global,top_shorts_songs_weekly,,47,Ih Abang Jahat (Remix) JEDAG JEDUG SOUND & NIZAR SOPAN,,,,Ih Abang Jahat (Remix) JEDAG JEDUG SOUND & NIZAR SOPAN
2026-08-07,global,Global,top_shorts_songs_weekly,,48,Kwik Flip,YTPMV 90's or 20's cartoons,,,Kwik Flip | YTPMV 90's or 20's cartoons
2026-08-07,global,Global,top_shorts_songs_weekly,,49,PITTAL PS Polist,,,,PITTAL PS Polist
2026-08-07,global,Global,top_shorts_songs_weekly,,50,"Long Way From Home MC Square , Radhika Bhide & Wicked Sunny",,,,"Long Way From Home MC Square , Radhika Bhide & Wicked Sunny"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,1,Haaland (Ha Ha Ha) CTID,,,,Haaland (Ha Ha Ha) CTID
2026-08-07,jp,Japan,top_shorts_songs_weekly,,2,1 クエスチョン meiyo,1 10 <10K,"11月 29, 2021",,"2 1 クエスチョン meiyo 11月 29, 2021 1 10 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,3,● 夜の踊り子 魚韻,3 15 <10K,"8月 28, 2012",,"3 ● 夜の踊り子 魚韻 8月 28, 2012 3 15 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,4,FALL FROM THE SKY PT. 2 RomancePlanet & STAKILLAZ,,,,FALL FROM THE SKY PT. 2 RomancePlanet & STAKILLAZ
2026-08-07,jp,Japan,top_shorts_songs_weekly,,5,1 3:03 PM しゃろう,<10K,"2月 23, 2022",109,"5 1 3:03 PM しゃろう 2月 23, 2022 4 109 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,6,エアロピクルス KomeAnime,,,,エアロピクルス KomeAnime
2026-08-07,jp,Japan,top_shorts_songs_weekly,,7,2 blue yung kai,5 39 <10K,"8月 2, 2024",,"7 2 blue yung kai 8月 2, 2024 5 39 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,8,おつかれSUMMER halcali,,,,おつかれSUMMER halcali
2026-08-07,jp,Japan,top_shorts_songs_weekly,,9,2 ちょっと楽しい 天野 七祈,7 23 <10K,"10月 27, 2014",,"9 2 ちょっと楽しい 天野 七祈 10月 27, 2014 7 23 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,10,OBF Joe Rikiichi,,,,OBF Joe Rikiichi
2026-08-07,jp,Japan,top_shorts_songs_weekly,,11,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG,,,,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG
2026-08-07,jp,Japan,top_shorts_songs_weekly,,12,12 きらり Fujii Kaze,24 2 <10K,"5月 2, 2021",,"12 12 きらり Fujii Kaze 5月 2, 2021 24 2 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,13,分かっちゃいないね (feat. 花隈千冬) monet,,,,分かっちゃいないね (feat. 花隈千冬) monet
2026-08-07,jp,Japan,top_shorts_songs_weekly,,14,4 GG EZ M.Sasuke,10 4 <10K,"5月 27, 2026",,"14 4 GG EZ M.Sasuke 5月 27, 2026 10 4 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,15,Brand New Mrs. GREEN APPLE,,,,Brand New Mrs. GREEN APPLE
2026-08-07,jp,Japan,top_shorts_songs_weekly,,16,2 mosi mosi? 楽音,14 14 <10K,"6月 12, 2026",,"16 2 mosi mosi? 楽音 6月 12, 2026 14 14 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,17,Life Goes On Oliver Tree,,,,Life Goes On Oliver Tree
2026-08-07,jp,Japan,top_shorts_songs_weekly,,18,君のココロをハッキング (feat. REML) ki,you,,,君のココロをハッキング (feat. REML) ki-you
2026-08-07,jp,Japan,top_shorts_songs_weekly,,19,1 烏,Raven 米津玄師 18 7 <10K,"6月 14, 2026",,"19 1 烏 - Raven 米津玄師 6月 14, 2026 18 7 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,20,MONTAGEM URANIUM (Slowed) ZAYLO,,,,MONTAGEM URANIUM (Slowed) ZAYLO
2026-08-07,jp,Japan,top_shorts_songs_weekly,,21,Dai Dai Shakira & 伯納男孩,,,,Dai Dai Shakira & 伯納男孩
2026-08-07,jp,Japan,top_shorts_songs_weekly,,22,GOODKUN Tesesaku,,,,GOODKUN Tesesaku
2026-08-07,jp,Japan,top_shorts_songs_weekly,,23,ヤラララ (feat. 重音テト) AnythingBecomeMoe,,,,ヤラララ (feat. 重音テト) AnythingBecomeMoe
2026-08-07,jp,Japan,top_shorts_songs_weekly,,24,You!Joy!Parade! M!LK,,,,You!Joy!Parade! M!LK
2026-08-07,jp,Japan,top_shorts_songs_weekly,,25,7 misery. pupsies,32 2 <10K,"3月 18, 2026",,"25 7 misery. pupsies 3月 18, 2026 32 2 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,26,5 It's Me ILLIT,21 12 <10K,"4月 23, 2026",,"26 5 It's Me ILLIT 4月 23, 2026 21 12 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,27,It's okay now (feat. KAFU) MIMI,,,,It's okay now (feat. KAFU) MIMI
2026-08-07,jp,Japan,top_shorts_songs_weekly,,28,ふたつの木馬 (feat. 初音未來) きくお,,,,ふたつの木馬 (feat. 初音未來) きくお
2026-08-07,jp,Japan,top_shorts_songs_weekly,,29,3 きらきら nanaacom,26 9 <10K,"1月 26, 2025",,"29 3 きらきら nanaacom 1月 26, 2025 26 9 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,30,STARGAZING RED EVIL JACK,,,,STARGAZING RED EVIL JACK
2026-08-07,jp,Japan,top_shorts_songs_weekly,,31,DIGIDI DIGIDI DJ.ILHAM & DJ MIRO,,,,DIGIDI DIGIDI DJ.ILHAM & DJ MIRO
2026-08-07,jp,Japan,top_shorts_songs_weekly,,32,Delirious Yoshimasa Terui,,,,Delirious Yoshimasa Terui
2026-08-07,jp,Japan,top_shorts_songs_weekly,,33,Terranova (Pandera Airplay edit) Janina,,,,Terranova (Pandera Airplay edit) Janina
2026-08-07,jp,Japan,top_shorts_songs_weekly,,34,Headlights (feat. KIDDO) Alok & 艾倫·沃克,,,,Headlights (feat. KIDDO) Alok & 艾倫·沃克
2026-08-07,jp,Japan,top_shorts_songs_weekly,,35,しおざきわんだーらんど M!LK,,,,しおざきわんだーらんど M!LK
2026-08-07,jp,Japan,top_shorts_songs_weekly,,36,Big Boom DJ.ILHAM,,,,Big Boom DJ.ILHAM
2026-08-07,jp,Japan,top_shorts_songs_weekly,,37,matrix (bl studio loop) (slowed) chrmbchrmb,,,,matrix (bl studio loop) (slowed) chrmbchrmb
2026-08-07,jp,Japan,top_shorts_songs_weekly,,38,Let's Go JAXSON GAMBLE,,,,Let's Go JAXSON GAMBLE
2026-08-07,jp,Japan,top_shorts_songs_weekly,,39,なんもねえ Wasureranneyo,,,,なんもねえ Wasureranneyo
2026-08-07,jp,Japan,top_shorts_songs_weekly,,40,Golden Brown The Stranglers,,,,Golden Brown The Stranglers
2026-08-07,jp,Japan,top_shorts_songs_weekly,,41,MONTAGEM ONE MORE GAME DJ KVNXD,,,,MONTAGEM ONE MORE GAME DJ KVNXD
2026-08-07,jp,Japan,top_shorts_songs_weekly,,42,BRAWL SWAG FUNK CHXLE,,,,BRAWL SWAG FUNK CHXLE
2026-08-07,jp,Japan,top_shorts_songs_weekly,,43,キュートなキューたい CUTIE STREET,,,,キュートなキューたい CUTIE STREET
2026-08-07,jp,Japan,top_shorts_songs_weekly,,44,I Got Your Back ILLIT & HANA,,,,I Got Your Back ILLIT & HANA
2026-08-07,jp,Japan,top_shorts_songs_weekly,,45,夏の思い出 決明子,<10K,"12月 20, 2000",,"45 New 夏の思い出 決明子 12月 20, 2000 - 1 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,46,46 Atlantis 海霧樂團,<10K,"3月 26, 2015",,"46 46 Atlantis 海霧樂團 3月 26, 2015 - 3 <10K"
2026-08-07,jp,Japan,top_shorts_songs_weekly,,47,FUNK ABNORMAL (SLOWED) DJ V12 & SXID,,,,FUNK ABNORMAL (SLOWED) DJ V12 & SXID
2026-08-07,jp,Japan,top_shorts_songs_weekly,,48,MONTAGEM SQUADS RED EVIL JACK,,,,MONTAGEM SQUADS RED EVIL JACK
2026-08-07,jp,Japan,top_shorts_songs_weekly,,49,16 Cookie NewJeans,33 3 <10K,"8月 1, 2022",,"49 16 Cookie NewJeans 8月 1, 2022 33 3 <10K"
