captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-13,tw,Taiwan,trending_videos,,1,https://i.ytimg.com/vi/FyS5dAywkEo/mqdefault.jpg,https://www.youtube.com/watch?v=FyS5dAywkEo,SaWaDiKa (Official Music Video),LISA,,,SaWaDiKa (Official Music Video) LISA
2026-09-13,tw,Taiwan,trending_videos,,2,https://i.ytimg.com/vi/IHIt9S2DWcQ/mqdefault.jpg,https://www.youtube.com/watch?v=IHIt9S2DWcQ,Dear my crazy soulmate,IU,,,Dear my crazy soulmate IU
2026-09-13,tw,Taiwan,trending_videos,,3,https://i.ytimg.com/vi/sf02ugzPFE4/mqdefault.jpg,https://www.youtube.com/watch?v=sf02ugzPFE4,CLICK,JISOO,"9月 3, 2026",<10K,"3 3 CLICK JISOO 9月 3, 2026 - 0 <10K"
2026-09-13,tw,Taiwan,trending_videos,,4,https://i.ytimg.com/vi/fUUOAfRNmjg/mqdefault.jpg,https://www.youtube.com/watch?v=fUUOAfRNmjg,失憶,李佳薇,"9月 7, 2026",<10K,"4 4 失忆 李佳薇 9月 7, 2026 - 0 <10K"
2026-09-13,tw,Taiwan,trending_videos,,5,https://i.ytimg.com/vi/KHqDMwHpdy8/mqdefault.jpg,https://www.youtube.com/watch?v=KHqDMwHpdy8,Unknown Planet,IU,,,Unknown Planet IU
2026-09-13,tw,Taiwan,trending_videos,,6,https://i.ytimg.com/vi/D6yo7CZNVJA/mqdefault.jpg,https://www.youtube.com/watch?v=D6yo7CZNVJA,眼淚KTV,曾沛慈 Pets Tseng,,,眼淚KTV 曾沛慈 Pets Tseng
2026-09-13,tw,Taiwan,trending_videos,,7,https://i.ytimg.com/vi/unAZ8gXhhMA/mqdefault.jpg,https://www.youtube.com/watch?v=unAZ8gXhhMA,我不難過,en王翊恩,"9月 2, 2026",<10K,"7 7 我不難過 en王翊恩 9月 2, 2026 - 0 <10K"
2026-09-13,tw,Taiwan,trending_videos,,8,https://i.ytimg.com/vi/7mDDM0eBWR0/mqdefault.jpg,https://www.youtube.com/watch?v=7mDDM0eBWR0,소연 (SOYEON) '퇴사할게여 (Narr. 기안84)' Official Music Video,i-dle (아이들),,,소연 (SOYEON) '퇴사할게여 (Narr. 기안84)' Official Music Video i-dle (아이들)
2026-09-13,tw,Taiwan,trending_videos,,9,https://i.ytimg.com/vi/HzpDg83IElA/mqdefault.jpg,https://www.youtube.com/watch?v=HzpDg83IElA,刪了一百遍 (汪蘇瀧概念創作集《聯名2》作品),A-Lin,,,删了一百遍 (汪苏泷概念创作集《联名2》作品) A-Lin
2026-09-13,tw,Taiwan,trending_videos,,10,https://i.ytimg.com/vi/PTaXHjz6okQ/mqdefault.jpg,https://www.youtube.com/watch?v=PTaXHjz6okQ,老朋友,黃奇斌,"8月 28, 2026",<10K,"10 10 老朋友 黃奇斌 8月 28, 2026 - 0 <10K"
2026-09-13,tw,Taiwan,trending_videos,,11,https://i.ytimg.com/vi/oAwzFFEYm38/mqdefault.jpg,https://www.youtube.com/watch?v=oAwzFFEYm38,Girls' Generation-HRS 소녀시대-효리수 'Skibidi' Performance Video,SMTOWN,,,Girls' Generation-HRS 소녀시대-효리수 'Skibidi' Performance Video SMTOWN
2026-09-13,tw,Taiwan,trending_videos,,12,https://i.ytimg.com/vi/nxf9yHZgWqc/mqdefault.jpg,https://www.youtube.com/watch?v=nxf9yHZgWqc,好きでいて - Suki de Ite,Ado,,,好きでいて - Suki de Ite Ado
2026-09-13,tw,Taiwan,trending_videos,,13,https://i.ytimg.com/vi/cOARkf5ZmtI/mqdefault.jpg,https://www.youtube.com/watch?v=cOARkf5ZmtI,FALLEN ANGEL,JENNIE,,,FALLEN ANGEL JENNIE
2026-09-13,tw,Taiwan,trending_videos,,14,https://i.ytimg.com/vi/o5EdYwk8k9o/mqdefault.jpg,https://www.youtube.com/watch?v=o5EdYwk8k9o,[MV]GENBLUE幻藍小熊 ’夜市王 Night Market Queen‘ MV,GENBLUE 幻藍小熊,,,[MV]GENBLUE幻藍小熊 ’夜市王 Night Market Queen‘ MV GENBLUE 幻藍小熊
2026-09-13,tw,Taiwan,trending_videos,,15,https://i.ytimg.com/vi/5mESl85XgyI/mqdefault.jpg,https://www.youtube.com/watch?v=5mESl85XgyI,11월 11일 (November 11th),Stray Kids,,,11월 11일 (November 11th) Stray Kids
2026-09-13,tw,Taiwan,trending_videos,,16,https://i.ytimg.com/vi/cjTdZMOWrVI/mqdefault.jpg,https://www.youtube.com/watch?v=cjTdZMOWrVI,甲乙丙丁Strangers (粵語版),李佳薇,,,甲乙丙丁Strangers (粵語版) 李佳薇
2026-09-13,tw,Taiwan,trending_videos,,17,https://i.ytimg.com/vi/6NR0jt0WxzQ/mqdefault.jpg,https://www.youtube.com/watch?v=6NR0jt0WxzQ,明信片,PPlin 林芃逸 / TIAB,,,明信片 PPlin 林芃逸 & TIAB
2026-09-13,tw,Taiwan,trending_videos,,18,https://i.ytimg.com/vi/0xlNP3tKfa4/mqdefault.jpg,https://www.youtube.com/watch?v=0xlNP3tKfa4,觀自在 (Remix),Marz23,,,觀自在 (Remix) Marz23
2026-09-13,tw,Taiwan,trending_videos,,19,https://i.ytimg.com/vi/Y1Lah0BM0KQ/mqdefault.jpg,https://www.youtube.com/watch?v=Y1Lah0BM0KQ,LE SSERAFIM (르세라핌) 'Made My Night' OFFICIAL MV with OVERWATCH,HYBE LABELS,,,LE SSERAFIM (르세라핌) 'Made My Night' OFFICIAL MV with OVERWATCH HYBE LABELS
2026-09-13,tw,Taiwan,trending_videos,,20,https://i.ytimg.com/vi/EJ7hmT2y48Q/mqdefault.jpg,https://www.youtube.com/watch?v=EJ7hmT2y48Q,Midnight Memory,Forrest Rose,,,Midnight Memory Forrest Rose
2026-09-13,tw,Taiwan,trending_videos,,21,https://i.ytimg.com/vi/1lyv4qZRlcY/mqdefault.jpg,https://www.youtube.com/watch?v=1lyv4qZRlcY,此刻 (《早春晴朗》電視劇情深限定曲&片尾曲),袁婭維TIA RAY,,,此刻 (《早春晴朗》电视剧情深限定曲&片尾曲) 袁娅维TIA RAY
