captured_date,market,market_name,chart,period_suffix,rank,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-07,global,Global,top_videos_daily,,1,Dai Dai Shakira & Burna Boy,,,,Dai Dai Shakira & Burna Boy
2026-08-07,global,Global,top_videos_daily,,2,Barbaadi Shilpi Raj,,,,Barbaadi Shilpi Raj
2026-08-07,global,Global,top_videos_daily,,3,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast",,,,"Golden HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast"
2026-08-07,global,Global,top_videos_daily,,4,Life Goes On Oliver Tree,,,,Life Goes On Oliver Tree
2026-08-07,global,Global,top_videos_daily,,5,Waka Waka Shakira,,,,Waka Waka Shakira
2026-08-07,global,Global,top_videos_daily,,6,เพราะพี่รักจริง หนึ่ง บีเคแบนด์,,,,เพราะพี่รักจริง หนึ่ง บีเคแบนด์
2026-08-07,global,Global,top_videos_daily,,7,MOON BABYMONSTER,,,,MOON BABYMONSTER
2026-08-07,global,Global,top_videos_daily,,8,Sunflower Post Malone & Swae Lee,,,,Sunflower Post Malone & Swae Lee
2026-08-07,global,Global,top_videos_daily,,9,petal Ariana Grande,,,,petal Ariana Grande
2026-08-07,global,Global,top_videos_daily,,10,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫",,,,"Shararat Madhubanti Bagchi , 雅斯文·桑德拉斯 & 沙赫瓦特·薩赫迪夫"
2026-08-07,global,Global,top_videos_daily,,11,Todo Lo Fue Lenin Ramírez,,,,Todo Lo Fue Lenin Ramírez
2026-08-07,global,Global,top_videos_daily,,12,Nano Saint Levant & TUL8TE,,,,Nano Saint Levant & TUL8TE
2026-08-07,global,Global,top_videos_daily,,13,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh",,,,"Basinga Balaalu Srinidhi Nerella , Kalyan Keys & Swamy Naresh"
2026-08-07,global,Global,top_videos_daily,,14,Sebebi Yar Blok3,,,,Sebebi Yar Blok3
