captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-26,th,Thailand,top_songs_weekly,,47,https://yt3.googleusercontent.com/Kdgqewa1oAEES8-go5Yb1mI4vh_d7fYPYNaqq0-mufo3B8_OibSeB8pTpbX2WKwwLmBHuGIRUZWsCLE=w180-h180-l90-rj,,เหลือใจให้ฉันบ้างไหม,MUNMUSIC,,,เหลือใจให้ฉันบ้างไหม MUNMUSIC
2026-09-26,th,Thailand,top_songs_weekly,,48,https://yt3.googleusercontent.com/nfF2R0QvoUXAxpaLQI36ce9AWqQif6QEUM8Nv9UJguS-cz5HCqv07wjvv61rwuiaEFC_ldBcYast5Lwg6A=w180-h180-l90-rj,,ไม่คิดนอกใจ,Loso,,,ไม่คิดนอกใจ Loso
2026-09-26,th,Thailand,top_songs_weekly,,49,https://yt3.googleusercontent.com/X_toi9J7Ljj9a8AXZuFL4w7Qdvhlk_0RJ_c2G7ZZckdkAI35vzM65fuAf_9D6RShbimXvpNajWzBXaI=w180-h180-l90-rj,,สิ้นสุดความพยายาม,PORZAX,,,สิ้นสุดความพยายาม PORZAX
2026-09-26,th,Thailand,top_songs_weekly,,50,https://yt3.googleusercontent.com/TMfut7UqivlGR-IsX3b2kOaEVo7Nn_xHlDctiRBh0Q_EW6AeHpfd1jSYRXCUfPBbRV9Mv3V2sDfMhb5NAw=w180-h180-l90-rj,,คนสุดท้าย,Asanee & Wasan,,,คนสุดท้าย Asanee & Wasan
2026-09-26,th,Thailand,top_songs_weekly,,51,https://yt3.googleusercontent.com/o2hXfaNRI7Kq4P0VkgJMhlSD_mlfg9rvjnpeuZcU04BN0UhaAtJG0JX7JBDRHkLVuedE7jejH-V35SKk=w180-h180-l90-rj,,หลุมอากาศ,Palmy,"6月 17, 2026",974057,"51 1 หลุมอากาศ Palmy 6月 17, 2026 52 13 974,057"
2026-09-26,th,Thailand,top_songs_weekly,,52,https://yt3.googleusercontent.com/bZRElBjNOeTQOGcLAYiQFz5_D19SNC-EGb2UWDeazsiQVzoa4TCu59gGLmeOICJ3SrHwJxq8zaL6msTv=w180-h180-l90-rj,,คนมีเจ้าของ (Reproduced),Am Seatwo / บังนัส ฟิวเจอร์แบนด์,,,คนมีเจ้าของ (Reproduced) Am Seatwo & บังนัส ฟิวเจอร์แบนด์
2026-09-26,th,Thailand,top_songs_weekly,,53,https://yt3.googleusercontent.com/Wi2jyLxYoH1seSYEP2SKVyII1Bdgv-ptd5CR1OazvufkaqUBXv2tnGIMWnmcWHtv9L2uuwJKV1D-YhI=w180-h180-l90-rj,,รัก ร้าง ราด รี (Dragon Jar) (Special Version),Tow Paranwat,,,รัก ร้าง ราด รี (Dragon Jar) (Special Version) Tow Paranwat
2026-09-26,th,Thailand,top_songs_weekly,,54,https://yt3.googleusercontent.com/R6pJ3QAj8G7L14H-LEs0kOncBi_hV15wWyTlC9EebsWVtonYPDCevAtKwu3tq-XHyOr_16c0CF_ziuVZIw=w180-h180-l90-rj,,คิดถึงเรื้อรัง,manutsawee,,,คิดถึงเรื้อรัง manutsawee
2026-09-26,th,Thailand,top_songs_weekly,,55,https://yt3.googleusercontent.com/UpymLqMkUoTnLl_aduzh1wfXO7avdGElbd1jGQCD7biKfqUeV8l4XLcAk0irUg5Y1mlUyhQi_1fWPrTv=w180-h180-l90-rj,,ขอบคุณตัวเอง,ดาม่วน Music,,,ขอบคุณตัวเอง ดาม่วน Music
2026-09-26,th,Thailand,top_songs_weekly,,56,https://yt3.googleusercontent.com/d-LBVuF0GYug9WOFegk-vCN1kENbSShUCAUfzcp8EuJ3WcWlpyF5tR8gvu_fIAcocx-8NHxoHrMyVAscpg=w180-h180-l90-rj,,เก็บทรง,FULL,"8月 31, 2026",911602,"56 New เก็บทรง FULL 8月 31, 2026 - 1 911,602"
2026-09-26,th,Thailand,top_songs_weekly,,57,https://yt3.googleusercontent.com/OlsyF8L82chwdoVqON-g5H3BsEEgA0zSIYU_6SIZgMtLe0QzZPxzno91C6zJktuon6rjAv_UbmggkO_vyQ=w180-h180-l90-rj,,BAD,ATEEZ,"5月 22, 2026",888203,"57 4 BAD ATEEZ 5月 22, 2026 53 11 888,203"
2026-09-26,th,Thailand,top_songs_weekly,,58,https://yt3.googleusercontent.com/awA0r8C3tDGORRwmMvaIZw0fabrz4SzKzALNxKIFHbaToUnrKQgA6zlHZcLxoBaYDn2JmkkzuIr8aW41Ag=w180-h180-l90-rj,,นาฬิกาตาย,bodyslam,,,นาฬิกาตาย bodyslam
2026-09-26,th,Thailand,top_songs_weekly,,59,https://yt3.googleusercontent.com/iFy4nlVYKPKApn7ufGDDlnMh4nWZBmjVDem5kQYGYllkcFnLAyhY-l-UgMJe59SdbYXRP9FjQGJcICaI=w180-h180-l90-rj,,กอดไม่ได้,Bedroom Audio,,,กอดไม่ได้ Bedroom Audio
2026-09-26,th,Thailand,top_songs_weekly,,60,https://yt3.googleusercontent.com/zI0c62FmgJqftAVuj8PmE7O-vOxNANMsaXr3mnhrfzsZxt7kpnUNjD550sHwwn0jCI-CxPBBUBalAC2U=w180-h180-l90-rj,,สิ่งที่มันกำลังเกิด (feat. Pause),Ae Jirakorn,,,สิ่งที่มันกำลังเกิด (feat. Pause) Ae Jirakorn
2026-09-26,th,Thailand,top_songs_weekly,,61,https://yt3.googleusercontent.com/iVaenViV0dg3ciG64AgYYAN2BM-LMTpwl2DoEtlppvDVKJAN2-DuegMzvmicbXKkw2HCgAg6ZA5GYbw=w180-h180-l90-rj,,แฟนใครไม่รู้,KM56,,,แฟนใครไม่รู้ KM56
